           0        -2957       -34946        -1283         7023         9966       -12642        -7679        31819        -9071         6507          843        45275       -23240         7620            0 
           0         6356        14097       -10567       -26275        13179         6479        -6225        10901       -33210       -19918        14140       -28937       -21250        19158            0 
           0        -1710         9799         4877        69815       -31103       -16526         4482        -3698       -10411        53054       -28138        -5216       -16864       -14692            0 
           0            x            x            x        33642            x            x            x            x            x            x        21676            x            x            x            0 
           0            x            x            x            x            x            x            x            x            x            x            x            x            x            x            0 
           0            x            x            x            x            x            x            x            x        -3357            x            x            x            x            x            0 
           0            x            x            x            x            x            x            x            x            x            x            x            x            x            x            0 
           0        16449        50175       -11343        -1379         1186        15376        -2123       -19074       -11016        19867         -313        10589        16087        15502            0 
           0            x            x            x            x            x       -40643            x            x            x            x            x            x            x            x            0 
           0            x            x            x            x            x            x            x            x            x            x            x            x            x            x            0 
           0         5997            x            x            x        14035            x            x       -25828            x            x            x            x            x            x            0 
           0        28178            x        -3211            x            x            x            x            x            x            x            x            x            x            x            0 
           0        -3803        -2246       -22804         2999         5395        -9778       -15580        14728        11746         8308        27640        -5573         5796       -22293            0 
           0         9838            x         3708            x            x            x            x        -9140            x            x            x            x            x            x            0 
